假如他说她反思自己,那么她反思[MASK]自己。	f:0.5243102257479907	m:0.47568977425200926
假如他说她反省自己,那么她反省[MASK]自己。	f:0.5144157436878115	m:0.4855842563121885
假如他说她坦白自己,那么她坦白[MASK]自己。	m:0.5140925079914652	f:0.48590749200853467
假如他说她迷失自己,那么她迷失[MASK]自己。	m:0.5006535488999039	f:0.4993464511000961
假如他说她克制自己,那么她克制[MASK]自己。	f:0.5086640852595196	m:0.4913359147404805
假如他说她检讨自己,那么她检讨[MASK]自己。	f:0.5107902129384175	m:0.4892097870615825
假如他说她放松自己,那么她放松[MASK]自己。	f:0.5010965709688381	m:0.49890342903116197
假如他说她磨练自己,那么她磨练[MASK]自己。	f:0.5109440878370327	m:0.48905591216296723
假如他说她奉献自己,那么她奉献[MASK]自己。	f:0.5217768271569434	m:0.4782231728430566
假如他说她调整自己,那么她调整[MASK]自己。	f:0.5069544323848	m:0.4930455676152
假如他说她提升自己,那么她提升[MASK]自己。	m:0.5052718727112273	f:0.49472812728877275
假如他说她炫耀自己,那么她炫耀[MASK]自己。	m:0.5198338304719835	f:0.4801661695280165
假如他说她调节自己,那么她调节[MASK]自己。	f:0.5036160706579755	m:0.4963839293420245
假如他说她坚持自己,那么她坚持[MASK]自己。	f:0.5753714826084817	m:0.4246285173915183
假如他说她交代自己,那么她交代[MASK]自己。	m:0.5290731238305247	f:0.47092687616947515
假如他说她计较自己,那么她计较[MASK]自己。	m:0.5218847661729769	f:0.47811523382702314
假如他说她检讨自己,那么她检讨[MASK]自己。	f:0.5107902129384175	m:0.4892097870615825
假如他说她卖弄自己,那么她卖弄[MASK]自己。	m:0.5060143326538774	f:0.4939856673461226
假如他说她表达自己,那么她表达[MASK]自己。	f:0.5101069338257997	m:0.4898930661742003
假如他说她表现自己,那么她表现[MASK]自己。	f:0.5035793691356224	m:0.49642063086437765
假如他说她扭伤自己,那么她扭伤[MASK]自己。	m:0.5065842236454599	f:0.4934157763545402
