如果他知道她经常批评自己,那么道她经常批评	f:0.6097007500790038	m:0.3902992499209961
如果他知道她把自己的书送给了朋友,那么道她把自己的书送给了	f:0.5032887461817241	m:0.4967112538182758
如果他担心她会批评自己,那么心她会批评	f:0.6102837484323804	m:0.38971625156761963
如果他知道她害了自己,那么道她害了	f:0.5892236720360745	m:0.4107763279639255
如果他觉得她对自己没信心,那么得她对自己没	f:0.5011769918870923	m:0.4988230081129078
如果他认为她的骄傲害了自己,那么为她的骄傲害了	f:0.5210687124223626	m:0.4789312875776375
如果他知道她告诉过他有关自己的工作,那么道她告诉过他有关自己的	f:0.501646723756115	m:0.4983532762438851
如果他说她跟他谈过自己的事,那么她跟他谈过自己	f:0.4995530651675648	m:0.5004469348324351
如果他认为她从他那里听说了自己的分数,那么为她从他那里听说了自己的	f:0.5007712403598589	m:0.49922875964014113
如果他知道她在他家洗自己的照片,那么道她在他家洗自己的	f:0.5013574045564009	m:0.498642595443599
如果他不喜欢她管自己的事,那么喜欢她管自己	f:0.500391427900539	m:0.49960857209946086
如果他知道她的报告害了自己,那么道她的报告害了	f:0.6344116040486164	m:0.36558839595138354
如果他的话暗示她的信害了自己,那么话暗示她的信害了	f:0.540451174687207	m:0.459548825312793
如果他认为她恨自己,那么为她恨	f:0.508852996813653	m:0.49114700318634696
如果他说她喜欢自己,那么她喜欢	f:0.5026478431392245	m:0.49735215686077544
如果他告诉别人她觉得自己明年可以考进好大学,那么诉别人她觉得自己明年可以考进好	f:0.5002863232199053	m:0.4997136767800947
如果他说她批评了自己,那么她批评了	f:0.5398746660688168	m:0.46012533393118316
如果他觉得她在批评自己,那么得她在批评	f:0.5367068856212618	m:0.4632931143787382
如果他认为她知道自己的朋友是一个好人,那么为她知道自己的朋友是一个	f:0.502169594987219	m:0.49783040501278103
如果他觉得她不喜欢自己,那么得她不喜欢	f:0.5026554159757513	m:0.49734458402424875
