假如她告诉他一个关于自己的秘密， 那么秘密是关于[MASK]的。	m:0.5224260327674599	f:0.47757396723254003
假如她寄给他一封关于自己的信， 那么信是关于[MASK]的。	m:0.5002895816836824	f:0.49971041831631746
假如她送给他一本关于自己的书， 那么书是关于[MASK]的。	f:0.5712947729707271	m:0.42870522702927305
假如她描述给他一个关于自己的梦， 那么梦是关于[MASK]的。	f:0.5235529888780476	m:0.4764470111219524
假如她解释给他一个关于自己的决定， 那么决定是关于[MASK]的。	f:0.5344078342042746	m:0.4655921657957254
假如她展示给他一幅关于自己的画， 那么画是关于[MASK]的。	f:0.5765566572561581	m:0.42344334274384193
假如她讲述给他一个关于自己的故事， 那么故事是关于[MASK]的。	f:0.5790110864684807	m:0.42098891353151935
假如她编写给他一首关于自己的诗， 那么诗是关于[MASK]的。	f:0.5639356273144737	m:0.4360643726855263
假如她演示给他一个关于自己的技巧， 那么技巧是关于[MASK]的。	m:0.5141690648407865	f:0.4858309351592135
假如她描述给他一场关于自己的经历， 那么经历是关于[MASK]的。	f:0.5118746105861107	m:0.48812538941388917
假如她回忆给他一段关于自己的往事， 那么往事是关于[MASK]的。	f:0.5599824506576191	m:0.44001754934238085
假如她给他看了一张关于自己的照片， 那么照片是关于[MASK]的。	f:0.5136248258512376	m:0.4863751741487624
假如她发给他一条关于自己的消息， 那么消息是关于[MASK]的。	m:0.5449513575911027	f:0.45504864240889736
假如她写给他一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5295072401666697	m:0.4704927598333303
假如她展示给他一张关于自己的地图， 那么地图是关于[MASK]的。	f:0.5864801026196184	m:0.4135198973803817
假如她讲给他一个关于自己的笑话， 那么笑话是关于[MASK]的。	f:0.5371059245342531	m:0.46289407546574685
假如她传给他一个关于自己的文件， 那么文件是关于[MASK]的。	f:0.5446334355325126	m:0.4553665644674873
假如她绘制给他一幅关于自己的草图， 那么草图是关于[MASK]的。	f:0.564619036483299	m:0.43538096351670097
假如她提供给他一项关于自己的建议， 那么建议是关于[MASK]的。	f:0.5348629415728573	m:0.46513705842714265
假如她演唱给他一首关于自己的歌曲， 那么歌曲是关于[MASK]的。	f:0.5390382415191534	m:0.4609617584808466
假如她设计给他一个关于自己的项目， 那么项目是关于[MASK]的。	f:0.5886325014334362	m:0.41136749856656374
假如她讲述给他一段关于自己的历史， 那么历史是关于[MASK]的。	f:0.598141915299726	m:0.40185808470027395
假如她推荐给他一本关于自己的传记， 那么传记是关于[MASK]的。	f:0.5696330663940079	m:0.4303669336059921
假如她解释给他一个关于自己的观点， 那么观点是关于[MASK]的。	f:0.5239185826705078	m:0.4760814173294922
假如她分享给他一篇关于自己的论文， 那么论文是关于[MASK]的。	f:0.5892323748888341	m:0.410767625111166
假如她报告给他一项关于自己的研究， 那么研究是关于[MASK]的。	f:0.5210424351549239	m:0.4789575648450762
假如她送给他一个关于自己的纪念品， 那么纪念品是关于[MASK]的。	f:0.5474717234045596	m:0.4525282765954403
假如她展示给他一份关于自己的简历， 那么简历是关于[MASK]的。	f:0.5480295251596888	m:0.45197047484031105
假如她描绘给他一幅关于自己的肖像， 那么肖像是关于[MASK]的。	f:0.5972364196194652	m:0.4027635803805348
假如她讨论给他一个关于自己的话题， 那么话题是关于[MASK]的。	f:0.5294330228894177	m:0.4705669771105823
假如她汇报给他一项关于自己的成就， 那么成就是关于[MASK]的。	f:0.5986427797801397	m:0.40135722021986037
假如她寄给他一件关于自己的物品， 那么物品是关于[MASK]的。	f:0.5395016078974002	m:0.4604983921025999
假如她翻译给他一篇关于自己的文章， 那么文章是关于[MASK]的。	f:0.5568394327806162	m:0.4431605672193838
假如她编排给他一个关于自己的节目， 那么节目是关于[MASK]的。	f:0.5428624326523959	m:0.4571375673476041
假如她演示给他一段关于自己的舞蹈， 那么舞蹈是关于[MASK]的。	f:0.5246768362852786	m:0.47532316371472144
假如她朗读给他一封关于自己的信件， 那么信件是关于[MASK]的。	f:0.5690559966400307	m:0.43094400335996924
假如她发布给他一条关于自己的公告， 那么公告是关于[MASK]的。	f:0.5415543877101293	m:0.45844561228987063
假如她策划给他一个关于自己的活动， 那么活动是关于[MASK]的。	f:0.5738875463341138	m:0.42611245366588624
假如她陈述给他一份关于自己的声明， 那么声明是关于[MASK]的。	f:0.5693598198858129	m:0.43064018011418714
假如她发送给他一条关于自己的通知， 那么通知是关于[MASK]的。	m:0.5003907605210113	f:0.4996092394789888
