如果罗伯特-乔丹明白她信任自己，那么她信任[MASK]。	f:0.5147648011266077	m:0.4852351988733923
如果她明白是建军在暗中保护着自己，那么建军在保护[MASK]。	m:0.5596850076765261	f:0.4403149923234739
如果他知道他们在说自己，那么他们在说[MASK]。	m:0.5786112707025932	f:0.42138872929740673
如果婆一见她就说他骗了自己，那么他骗了[MASK]。	m:0.5307347309796644	f:0.4692652690203356
如果她明白他还在跟着自己，那么他跟着[MASK]。	m:0.5882486608143997	f:0.4117513391856003
如果她发现他还在恶狠狠地看着自己，那么他在看着[MASK]。	m:0.661642602912249	f:0.33835739708775103
如果姑娘却用如此凄楚的眼神看着他，仿佛恳求他来解救自己，那么他被恳求解救[MASK]。	m:0.5784313389848044	f:0.4215686610151957
如果德克尔仍在抚摸着贝丝的秀发，他真不愿意警察这个时候来打扰自己，那么警察打扰[MASK]。	m:0.6974861885189034	f:0.3025138114810966
如果建军本来在看电视，突然发觉母亲在注视着自己，那么母亲在注视着[MASK]。	m:0.5579516153418942	f:0.4420483846581059
如果校长忽然不说话了，建军知道她正打量着自己，那么她打量[MASK]。	f:0.5071775599407348	m:0.49282244005926523
如果他抬眼一瞥，看到她在看着自己，那么她在看着[MASK]。	m:0.5255582970120463	f:0.4744417029879538
如果我咕哝着，担心他弄醒自己，那么我担心他弄醒[MASK]。	m:0.4366004635672907	w:0.3055062715790072	f:0.2578932648537021
如果铂内尔发现那双灰眼睛正以奇异的目光注视着自己，那么眼睛正注视着[MASK]。	m:0.575456714548921	f:0.42454328545107906
如果她感觉到男出纳的黑眼睛一动不动地盯着自己，那么眼睛正盯着[MASK]。	f:0.6159766193710592	m:0.38402338062894087
如果他看到丽娟怀疑地看着自己，那么丽娟看着[MASK]。	m:0.5935937545949	f:0.4064062454050999
如果她不喜欢建军继续抚摸自己，那么建军抚摸[MASK]。	f:0.5894412121652963	m:0.41055878783470373
如果我甚至也希望丽娟能够这样来迎接自己，那么丽娟可以这样来迎接[MASK]。	w:0.4179457922317851	f:0.3165216610035506	m:0.26553254676466415
如果她一抬头，看到建军正在端详着自己，那么建军在端详[MASK]。	m:0.5008160898607392	f:0.4991839101392608
如果她觉得对面的日本兵非常不友好地看着自己，那么日本兵在看着[MASK]。	f:0.5319759269272875	m:0.4680240730727126
如果她相信一营的士兵们也都会这样嘲笑自己，那么士兵们嘲笑[MASK]。	f:0.6985951641140583	m:0.3014048358859416
如果她害怕他辞掉自己，那么他可能辞掉[MASK]。	m:0.5725799009346898	f:0.42742009906531025
如果丽娟知道建军是有心救济自己，那么建军有心救济[MASK]。	m:0.5167703181234325	f:0.4832296818765675
如果他感到她在注意自己，那么她在注意[MASK]。	m:0.5224078527148162	f:0.47759214728518373
如果奥多太太还只道他看上了自己，那么他看上了[MASK]。	m:0.6656171218184053	f:0.3343828781815947
如果他看到她正微笑地注视着自己，那么她正注视着[MASK]。	m:0.57930437492882	f:0.4206956250711799
如果建军忽然发觉女儿长得并不像自己，那么女儿不像[MASK]。	f:0.5018766024508692	m:0.4981233975491309
如果她看到知县大老爷也正在注目自己，那么知县大老爷正注目[MASK]。	m:0.6323486365537863	f:0.36765136344621374
如果突然他发现丽娟在看自己，那么丽娟在看[MASK]。	m:0.5669063914105547	f:0.4330936085894453
如果他只见丽娟正盯住自己，那么丽娟盯着[MASK]。	m:0.6492234390970056	f:0.35077656090299447
如果可他总觉得王太太在扭头望着自己，那么王太太望着[MASK]。	m:0.6147989446035005	f:0.38520105539649957
如果他知道它正在芦苇丛里仇恨地盯着自己，那么它盯着[MASK]。	m:0.43787787703538095	t:0.293209160737538	f:0.26891296222708105
如果建军则害怕丽娟告发自己，那么丽娟告发[MASK]。	m:0.6002451958293531	f:0.3997548041706469
如果她希望建军能尽力挽留自己，那么建军挽留[MASK]。	m:0.5294154725700607	f:0.47058452742993934
如果他感到她又回避自己，那么她回避[MASK]。	m:0.6284155766220757	f:0.3715844233779243
如果他发现丽娟也正在默默地注视着自己，那么丽娟在注视[MASK]。	f:0.5095456973306504	m:0.49045430266934964
如果她知道那年轻轿夫正在注视着自己，那么轿夫正注视着[MASK]。	f:0.5275764893598847	m:0.47242351064011534
如果建军看到丽娟站在门边，悲哀地望着自己，那么丽娟望着[MASK]。	m:0.5005845611114283	f:0.49941543888857165
如果她料不到建军会主动地强迫了自己，那么建军强迫了[MASK]。	f:0.5751573734300754	m:0.4248426265699246
如果她希望他来看看自己，那么他来看看[MASK]。	m:0.5860239248839567	f:0.41397607511604323
如果他不愿母亲靠近自己，那么母亲靠近[MASK]。	m:0.6678046871259619	f:0.3321953128740382
如果我觉得丈夫背叛了自己，那么丈夫背叛了[MASK]。	w:0.4951578597511713	m:0.2674605823299214	f:0.23738155791890728
如果丽娟觉得他是有意避着自己，那么他在避着[MASK]。	m:0.5782684949552391	f:0.42173150504476087
如果建军却感到她是在冷眼看着自己，那么她看着[MASK]。	m:0.5664670525422362	f:0.43353294745776383
如果但丽娟发现他并没有认出自己，那么他没有认出[MASK]。	m:0.5144744592320531	f:0.48552554076794685
如果父亲看见母亲从她幽居的高处俯视着自己，那么母亲俯视着[MASK]。	f:0.5903194116517907	m:0.4096805883482094
如果建军觉得人们好像在纷纷躲避自己，那么人们在躲避[MASK]。	m:0.5349219882211103	f:0.4650780117788898
如果她热切地盼望着建军前来找自己，那么建军会来找[MASK]。	f:0.6422542091399007	m:0.35774579086009917
如果建军好像听到丽娟正在身边取笑自己，那么丽娟在取笑[MASK]。	m:0.5353370201353892	f:0.4646629798646108
如果她无意中发现他正在看着自己，那么他在看着[MASK]。	m:0.5699272428510258	f:0.4300727571489742
如果建军怀疑她是在有意躲避自己，那么她在躲避[MASK]。	f:0.5356608960875201	m:0.46433910391247996
如果他在回来的路上仍不相信丽娟会真的喜欢自己，那么丽娟喜欢[MASK]。	m:0.6101089113576198	f:0.3898910886423802
如果建军感到连母亲也抛弃了自己，那么母亲抛弃了[MASK]。	m:0.5646033566530485	f:0.4353966433469516
如果她看到安全部头子的脸从银行大楼的一扇窗子后边注视着自己，那么安全部头子在注视着[MASK]。	f:0.6578162693001323	m:0.3421837306998677
如果建军没想到丽娟会反问自己，那么丽娟反问[MASK]。	m:0.5301943479214801	f:0.4698056520785198
如果他没有等着她过来拥抱自己，那么她过来拥抱[MASK]。	m:0.558363258611956	f:0.441636741388044
如果他环顾了一下四周，发觉这个丽娟正诚挚地注视着自己，那么丽娟正注视着[MASK]。	m:0.527504761110234	f:0.4724952388897659
如果她一抬头，看到建军正在端详着自己，那么建军正端详着[MASK]。	m:0.5720464486230346	f:0.4279535513769654
如果她听不惯别人称赞自己，那么别人称赞[MASK]。	f:0.677511807564276	m:0.3224881924357241
如果但他知道她是好心来救自己，那么她是好心来救[MASK]。	m:0.6445523952660668	f:0.35544760473393333
如果她发觉他带着奇怪的目光注视着自己，那么他注视着[MASK]。	m:0.5387363854199295	f:0.4612636145800705
如果他知道它正在芦苇丛里仇恨地盯着自己，那么它盯着[MASK]。	m:0.43787787703538095	t:0.293209160737538	f:0.26891296222708105
如果建军做梦也没想到丽娟竟然这样回答自己，那么丽娟回答[MASK]。	m:0.5109581273060378	f:0.48904187269396204
如果建军则害怕丽娟告发自己，那么丽娟告发[MASK]。	m:0.6002451958293531	f:0.3997548041706469
如果建军看见她们边笑边回头望他，便知道她们是在聊自己，那么她们在聊[MASK]。	m:0.5352164653856339	f:0.4647835346143661
如果他感到她又回避自己，那么她回避[MASK]。	m:0.6284155766220757	f:0.3715844233779243
如果她看见建军正在一年级空无一人的教室前面等着自己，那么建军在等[MASK]。	m:0.500985545343282	f:0.49901445465671807
